ID,Species,Genotype,Tape Color,Treatment Tank,Treatment,Timepoint Sampled,Metric,FileName,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,DateAnalyzed,Notes
1471,Pacuta,P-G1,Brown,Ambient Tank 1,Ambient,Day 1,Physiology,Physiology_Day1_AmbTank1a_20220712.JPG,226.607,72.261,196.518,135.42,105.565,73.79,7/13/22,"Photos taken with JA GoPro, not super clear"
2752,Pacuta,P-G1,Brown,Ambient Tank 2,Ambient,Day 5,Physiology,Physiology_Day5_AmbTank2a_20220716.JPG,170.781,36.746,136.926,113.633,98.564,73.592,7/17/22,"Photos taken with JA GoPro, not super clear"
1451,Pacuta,P-G1,Brown,Ambient Tank 1,Ambient,Day 5,Molecular,Molecular_Day5_AmbTank1c_20220716.JPG,194.522,48.854,158.944,162.499,133.899,100.965,7/16/22,"Photos taken with JA GoPro, not super clear"
1641,Pacuta,P-G1,Brown,High Tank 1,High,Day 3,Physiology ,Physiology_Day3_HighTank1d_20220714.JPG,188.527,61.423,220.131,107.802,111.437,117.102,7/15/22,"Photos taken with JA GoPro, not super clear"
1320,Pacuta,P-G1,Brown,Ambient Tank 2,Ambient,Day 3,Physiology ,Physiology_Day3_AmbTank2b_20220714.JPG,201.801,46.773,184.704,111.105,98.553,79.688,7/15/22,"Photos taken with JA GoPro, not super clear"
1227,Pacuta,P-G1,Brown,Ambient Tank 2,Ambient,Day 1,Molecular,Molecular_Day1_AmbTank2b_20220712.JPG,207.023,39.662,157.778,163.905,142.186,105.316,7/13/22,"Photos taken with JA GoPro, not super clear"
1682,Pacuta,P-G1,Brown,High Tank 2,High,Day 7,Molecular,M/P_Day7_HighTank2a_20220718.JPG,158.621,51.503,200.467,96.358,94.663,90.335,7/25/22,"Photos taken with JA GoPro, not super clear"
1752,Pacuta,P-G1,Brown,High Tank 1,High,Day 1,Molecular,Molecular_Day1_HighTank2b_20220712.JPG,213.798,62.381,174.103,129.672,97.801,63.711,7/13/22,"Photos taken with JA GoPro, not super clear"
1330,Pacuta,P-G1,Brown,High Tank 1,High,Day 7,Physiology,Physiology_Day7_HighTank1b_20220718.JPG,137.913,36.994,153.061,75.371,69.598,59.383,7/25/22,"Photos taken with JA GoPro, not super clear"
1094,Pacuta,P-G1,Brown,Ambient Tank 1,Ambient,Day 3,Molecular,Molecular_Day3_AmbTank1d_20220714.JPG,173.833,36.963,187.681,82.388,81.519,76.847,7/15/22,"Photos taken with JA GoPro, not super clear"
1038,Pacuta,P-G1,Brown,Ambient Tank 2,Ambient,Day 7,Molecular,,,,,,,,,
1276,Pacuta,P-G1,Brown,High Tank 2,High,Day 3,Molecular,Molecular_Day3_HighTank2a_20220714.JPG,208.008,57.99,208.899,89.408,77.755,67.691,7/15/22,"Photos taken with JA GoPro, not super clear"
