Date,colony_id,Chamber,Channel,Run,Temp.Cat,Treatment,Chamber.Vol.L,Timepoint,Surface.Area.cm2,Notes
20220712,BK1,8,8,1,25.9,Ambient,,Day 1,NA,
20220712,1154,7,7,1,25.9,Ambient,615,Day 1,,
20220712,1100,4,4,1,25.9,Ambient,615,Day 1,,
20220712,1705,5,5,1,25.9,Ambient,610,Day 1,,
20220712,2308,1,1,1,25.9,Ambient,610,Day 1,,
20220712,1220,2,2,1,25.9,Ambient,600,Day 1,,spilled some water when taking volume
20220712,BK2,6,6,2,25.7,Ambient,645,Day 1,NA,
20220712,2011,2,2,2,25.7,Ambient,620,Day 1,,
20220712,1133,4,4,2,25.7,Ambient,620,Day 1,,
20220712,1471,5,5,2,25.7,Ambient,610,Day 1,,
20220712,2537,7,7,2,25.7,Ambient,610,Day 1,,
20220712,1177,8,8,2,25.7,Ambient,645,Day 1,,
20220712,BK3,2,2,3,29.8,Temperature ramp/High,620,Day 1,NA,
20220712,1180,4,4,3,29.8,Temperature ramp/High,615,Day 1,,
20220712,2758,5,5,3,29.8,Temperature ramp/High,610,Day 1,,
20220712,1727,6,6,3,29.8,Temperature ramp/High,620,Day 1,,
20220712,2086,7,7,3,29.8,Temperature ramp/High,595,Day 1,,
20220712,1217,8,8,3,29.8,Temperature ramp/High,650,Day 1,,
20220712,BK4,4,4,4,30,Temperature ramp/High,625,Day 1,NA,
20220712,1209,6,6,4,30,Temperature ramp/High,595,Day 1,,
20220712,2203,2,2,4,30,Temperature ramp/High,625,Day 1,,
20220712,1774,8,8,4,30,Temperature ramp/High,620,Day 1,,
20220712,1166,7,7,4,30,Temperature ramp/High,620,Day 1,,
20220712,1644,5,5,4,30,Temperature ramp/High,625,Day 1,,
20220714,BK5,2,3,5,26.3,Ambient,630,Day 3,NA,
20220714,2853,4,4,5,26.3,Ambient,610,Day 3,,
20220714,2382,5,5,5,26.3,Ambient,630,Day 3,,
20220714,1628,6,6,5,26.3,Ambient,610,Day 3,,
20220714,1728,7,7,5,26.3,Ambient,615,Day 3,,
20220714,1086,8,8,5,26.3,Ambient,630,Day 3,,
20220714,BK6,8,8,6,26.2,Ambient,625,Day 3,NA,
20220714,1441,7,7,6,26.2,Ambient,620,Day 3,,
20220714,1056,6,6,6,26.2,Ambient,620,Day 3,,
20220714,1320,5,5,6,26.2,Ambient,620,Day 3,,
20220714,1175,4,4,6,26.2,Ambient,640,Day 3,,
20220714,1045,2,2,6,26.2,Ambient,620,Day 3,,
20220714,BK7,7,7,7,30.5,High,630,Day 3,NA,
20220714,1066,8,8,7,30.5,High,610,Day 3,,
20220714,1130,2,2,7,30.5,High,595,Day 3,,spilled some water when taking volume
20220714,1731,6,6,7,30.5,High,620,Day 3,,
20220714,1563,5,5,7,30.5,High,615,Day 3,,
20220714,2013,4,4,7,30.5,High,635,Day 3,,
20220714,BK8,5,5,8,30.8,High,625,Day 3,NA,
20220714,2002,8,8,8,30.8,High,630,Day 3,,
20220714,1336,2,2,8,30.8,High,620,Day 3,,
20220714,1641,4,4,8,30.8,High,620,Day 3,,
20220714,3003,7,7,8,30.8,High,600,Day 3,,spilled some water when taking volume
20220714,1757,6,6,8,30.8,High,625,Day 3,,
20220716,BK9,2,2,9,26.8,Ambient,635,Day 5,NA,
20220716,1322,4,4,9,26.8,Ambient,630,Day 5,,
20220716,2659,5,5,9,26.8,Ambient,610,Day 5,,
20220716,2752,6,6,9,26.8,Ambient,605,Day 5,,
20220716,1149,7,7,9,26.8,Ambient,605,Day 5,,
20220716,1244,8,8,9,26.8,Ambient,620,Day 5,,
20220716,BK10,7,7,10,26.5,Ambient,640,Day 5,NA,
20220716,1206,5,5,10,26.5,Ambient,625,Day 5,,
20220716,2980/2559?,6,6,10,26.5,Ambient,620,Day 5,,
20220716,1718,2,2,10,26.5,Ambient,620,Day 5,,
20220716,1120,8,8,10,26.5,Ambient,620,Day 5,,
20220716,1491,4,4,10,26.5,Ambient,620,Day 5,,
20220716,BK11,8,8,11,30.6,High,615,Day 5,NA,
20220716,1601,7,7,11,30.6,High,610,Day 5,,
20220716,1438,6,6,11,30.6,High,620,Day 5,,
20220716,2986,5,5,11,30.6,High,620,Day 5,,
20220716,1422,4,4,11,30.6,High,625,Day 5,,
20220716,1444,2,2,11,30.6,High,625,Day 5,,
20220716,BK12,4,4,12,30.5,High,625,Day 5,NA,
20220716,1039,8,8,12,30.5,High,590,Day 5,,
20220716,2556,7,7,12,30.5,High,610,Day 5,,
20220716,2389,2,2,12,30.5,High,620,Day 5,,
20220716,2200,6,6,12,30.5,High,625,Day 5,,
