Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
400584,18/7/22 15:31:12,0.000,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.417,%a.s.,30.168,°C,1020.000,hPa,Humid,0,0,,0,21.084,62773,272246.85,28.70,67.60,#N/A
400586,18/7/22 15:31:14,0.020,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.419,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.083,62756,272195.27,28.70,67.60,#N/A
400588,18/7/22 15:31:15,0.037,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.419,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.083,62747,272162.91,28.70,67.60,#N/A
400591,18/7/22 15:31:16,0.053,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.386,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.087,62736,272125.48,28.70,67.60,#N/A
400593,18/7/22 15:31:17,0.070,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.408,%a.s.,30.168,°C,1020.000,hPa,Humid,0,0,,0,21.085,62723,272117.54,28.70,67.60,#N/A
400598,18/7/22 15:31:18,0.087,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.369,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.089,62723,272105.65,28.70,67.60,#N/A
400602,18/7/22 15:31:19,0.104,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.431,%a.s.,30.180,°C,1020.000,hPa,Humid,0,0,,0,21.081,62715,272096.77,28.70,67.60,#N/A
400605,18/7/22 15:31:20,0.120,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.377,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.088,62711,272099.65,28.70,67.60,#N/A
400608,18/7/22 15:31:21,0.137,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.386,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.087,62708,272089.15,28.70,67.60,#N/A
400614,18/7/22 15:31:22,0.153,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.374,%a.s.,30.186,°C,1020.000,hPa,Humid,0,0,,0,21.087,62702,272081.67,28.70,67.60,#N/A
400620,18/7/22 15:31:23,0.170,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.344,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.092,62709,272098.46,28.70,67.60,#N/A
400624,18/7/22 15:31:24,0.186,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.389,%a.s.,30.180,°C,1020.000,hPa,Humid,0,0,,0,21.086,62701,272067.60,28.70,67.60,#N/A
400628,18/7/22 15:31:25,0.203,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.361,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.090,62697,272059.77,28.70,67.60,#N/A
400635,18/7/22 15:31:26,0.220,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.350,%a.s.,30.168,°C,1020.000,hPa,Humid,0,0,,0,21.092,62696,272071.33,28.70,67.60,#N/A
400639,18/7/22 15:31:27,0.237,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.361,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.090,62688,272061.76,28.70,67.60,#N/A
400647,18/7/22 15:31:28,0.254,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.366,%a.s.,30.168,°C,1020.000,hPa,Humid,0,0,,0,21.090,62693,272076.81,28.70,67.60,#N/A
400648,18/7/22 15:31:29,0.270,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.352,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.091,62686,272071.23,28.70,67.60,#N/A
400656,18/7/22 15:31:30,0.287,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.366,%a.s.,30.168,°C,1020.000,hPa,Humid,0,0,,0,21.090,62682,272066.87,28.70,67.60,#N/A
400659,18/7/22 15:31:31,0.303,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.319,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.095,62693,272060.48,28.70,67.60,#N/A
400666,18/7/22 15:31:32,0.320,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.333,%a.s.,30.168,°C,1020.000,hPa,Humid,0,0,,0,21.094,62692,272053.56,28.70,67.60,#N/A
400674,18/7/22 15:31:33,0.336,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.347,%a.s.,30.180,°C,1020.000,hPa,Humid,0,0,,0,21.091,62689,272060.22,28.70,67.60,#N/A
400677,18/7/22 15:31:34,0.353,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.310,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.096,62690,272045.03,28.70,67.60,#N/A
400681,18/7/22 15:31:35,0.370,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.296,%a.s.,30.180,°C,1020.000,hPa,Humid,0,0,,0,21.097,62690,272038.74,28.70,67.60,#N/A
400690,18/7/22 15:31:36,0.387,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.308,%a.s.,30.168,°C,1020.000,hPa,Humid,0,0,,0,21.097,62683,272055.99,28.70,67.60,#N/A
400694,18/7/22 15:31:37,0.403,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.288,%a.s.,30.180,°C,1020.000,hPa,Humid,0,0,,0,21.098,62674,272047.63,28.70,67.60,#N/A
400700,18/7/22 15:31:38,0.420,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.305,%a.s.,30.180,°C,1020.000,hPa,Humid,0,0,,0,21.096,62684,272051.59,28.70,67.60,#N/A
400705,18/7/22 15:31:39,0.437,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.335,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.093,62690,272047.90,28.70,67.60,#N/A
400713,18/7/22 15:31:40,0.454,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.335,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.093,62684,272037.10,28.70,67.60,#N/A
400720,18/7/22 15:31:41,0.470,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.302,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.097,62680,272039.40,28.70,67.60,#N/A
400724,18/7/22 15:31:42,0.487,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.237,%a.s.,30.180,°C,1020.000,hPa,Humid,0,0,,0,21.104,62683,272037.64,28.70,67.60,#N/A
400732,18/7/22 15:31:43,0.503,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.299,%a.s.,30.186,°C,1020.000,hPa,Humid,0,0,,0,21.096,62676,272029.09,28.70,67.60,#N/A
400739,18/7/22 15:31:44,0.520,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.246,%a.s.,30.180,°C,1020.000,hPa,Humid,0,0,,0,21.103,62679,272030.11,28.70,67.60,#N/A
400743,18/7/22 15:31:45,0.536,OXY_CH4 (PSt7-10),21/6/22 15:55:38,default,94.260,%a.s.,30.174,°C,1020.000,hPa,Humid,0,0,,0,21.102,62677,272021.34,28.70,67.60,#N/A
