Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
66130,12/7/22 13:35:56,0.000,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.751,%a.s.,29.879,°C,1020.000,hPa,Humid,0,0,,0,19.091,34225,247218.38,36.40,83.10,#N/A
66133,12/7/22 13:35:57,0.013,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.740,%a.s.,29.879,°C,1020.000,hPa,Humid,0,0,,0,19.092,34202,247136.19,36.40,83.10,#N/A
66136,12/7/22 13:35:58,0.030,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.824,%a.s.,29.891,°C,1020.000,hPa,Humid,0,0,,0,19.083,34188,247108.08,36.40,83.10,#N/A
66138,12/7/22 13:35:59,0.047,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.743,%a.s.,29.885,°C,1020.000,hPa,Humid,0,0,,0,19.091,34181,247074.24,36.40,83.10,#N/A
66144,12/7/22 13:36:00,0.064,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.825,%a.s.,29.873,°C,1020.000,hPa,Humid,0,0,,0,19.085,34167,247049.81,36.40,83.10,#N/A
66146,12/7/22 13:36:01,0.080,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.832,%a.s.,29.885,°C,1020.000,hPa,Humid,0,0,,0,19.083,34162,247033.60,36.40,83.10,#N/A
66151,12/7/22 13:36:02,0.097,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.951,%a.s.,29.879,°C,1020.000,hPa,Humid,0,0,,0,19.073,34151,247034.66,36.40,83.10,#N/A
66157,12/7/22 13:36:03,0.113,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.936,%a.s.,29.873,°C,1020.000,hPa,Humid,0,0,,0,19.075,34143,247026.41,36.40,83.10,#N/A
66162,12/7/22 13:36:04,0.130,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.980,%a.s.,29.873,°C,1020.000,hPa,Humid,0,0,,0,19.071,34139,247008.06,36.40,83.10,#N/A
66165,12/7/22 13:36:05,0.146,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.895,%a.s.,29.879,°C,1020.000,hPa,Humid,0,0,,0,19.078,34133,247001.76,36.40,83.10,#N/A
66171,12/7/22 13:36:06,0.163,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.999,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.070,34124,247007.62,36.40,83.10,#N/A
66177,12/7/22 13:36:07,0.180,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.914,%a.s.,29.873,°C,1020.000,hPa,Humid,0,0,,0,19.077,34124,246994.32,36.40,83.10,#N/A
66185,12/7/22 13:36:08,0.197,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.947,%a.s.,29.873,°C,1020.000,hPa,Humid,0,0,,0,19.074,34122,247006.24,36.40,83.10,#N/A
66189,12/7/22 13:36:09,0.214,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.969,%a.s.,29.873,°C,1020.000,hPa,Humid,0,0,,0,19.072,34111,246995.93,36.40,83.10,#N/A
66195,12/7/22 13:36:10,0.230,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.958,%a.s.,29.873,°C,1020.000,hPa,Humid,0,0,,0,19.073,34111,246985.54,36.40,83.10,#N/A
66199,12/7/22 13:36:11,0.246,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.947,%a.s.,29.873,°C,1020.000,hPa,Humid,0,0,,0,19.074,34104,246978.70,36.40,83.10,#N/A
66207,12/7/22 13:36:12,0.263,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.062,%a.s.,29.879,°C,1020.000,hPa,Humid,0,0,,0,19.063,34095,246986.57,36.40,83.10,#N/A
66211,12/7/22 13:36:13,0.280,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.014,%a.s.,29.873,°C,1020.000,hPa,Humid,0,0,,0,19.068,34088,246986.29,36.40,83.10,#N/A
66220,12/7/22 13:36:14,0.297,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.033,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.067,34086,246983.15,36.40,83.10,#N/A
66225,12/7/22 13:36:15,0.314,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.955,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.074,34077,246973.58,36.40,83.10,#N/A
66231,12/7/22 13:36:16,0.330,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.992,%a.s.,29.854,°C,1020.000,hPa,Humid,0,0,,0,19.072,34071,246967.48,36.40,83.10,#N/A
66235,12/7/22 13:36:17,0.347,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.044,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.066,34064,246973.98,36.40,83.10,#N/A
66241,12/7/22 13:36:18,0.363,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.999,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.070,34064,246959.90,36.40,83.10,#N/A
66250,12/7/22 13:36:19,0.380,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.958,%a.s.,29.873,°C,1020.000,hPa,Humid,0,0,,0,19.073,34054,246964.41,36.40,83.10,#N/A
66252,12/7/22 13:36:20,0.396,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.055,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.065,34044,246955.97,36.40,83.10,#N/A
66259,12/7/22 13:36:21,0.413,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.066,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.064,34044,246958.87,36.40,83.10,#N/A
66266,12/7/22 13:36:22,0.430,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.018,%a.s.,29.861,°C,1020.000,hPa,Humid,0,0,,0,19.069,34026,246959.99,36.40,83.10,#N/A
66272,12/7/22 13:36:23,0.447,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.022,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.068,34025,246958.16,36.40,83.10,#N/A
66276,12/7/22 13:36:24,0.463,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.118,%a.s.,29.861,°C,1020.000,hPa,Humid,0,0,,0,19.060,34017,246952.91,36.40,83.10,#N/A
66283,12/7/22 13:36:25,0.480,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.010,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.069,34013,246957.02,36.40,83.10,#N/A
66289,12/7/22 13:36:26,0.497,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,119.999,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.070,34013,246950.26,36.40,83.10,#N/A
66296,12/7/22 13:36:27,0.513,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.048,%a.s.,29.854,°C,1020.000,hPa,Humid,0,0,,0,19.067,34004,246942.34,36.40,83.10,#N/A
66304,12/7/22 13:36:28,0.530,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.088,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.062,34000,246947.78,36.40,83.10,#N/A
66308,12/7/22 13:36:29,0.546,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.125,%a.s.,29.873,°C,1020.000,hPa,Humid,0,0,,0,19.058,33988,246947.75,36.40,83.10,#N/A
66313,12/7/22 13:36:30,0.563,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.088,%a.s.,29.867,°C,1020.000,hPa,Humid,0,0,,0,19.062,33990,246940.77,36.40,83.10,#N/A
66318,12/7/22 13:36:31,0.580,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.159,%a.s.,29.854,°C,1020.000,hPa,Humid,0,0,,0,19.057,33987,246934.47,36.40,83.10,#N/A
66326,12/7/22 13:36:32,0.597,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.163,%a.s.,29.861,°C,1020.000,hPa,Humid,0,0,,0,19.056,33984,246947.32,36.40,83.10,#N/A
66334,12/7/22 13:36:33,0.614,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.081,%a.s.,29.854,°C,1020.000,hPa,Humid,0,0,,0,19.064,33986,246936.80,36.40,83.10,#N/A
66336,12/7/22 13:36:34,0.630,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.241,%a.s.,29.861,°C,1020.000,hPa,Humid,0,0,,0,19.049,33978,246919.46,36.40,83.10,#N/A
66342,12/7/22 13:36:35,0.646,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.241,%a.s.,29.861,°C,1020.000,hPa,Humid,0,0,,0,19.049,33979,246918.21,36.40,83.10,#N/A
66349,12/7/22 13:36:36,0.663,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.093,%a.s.,29.854,°C,1020.000,hPa,Humid,0,0,,0,19.063,33971,246925.19,36.40,83.10,#N/A
66357,12/7/22 13:36:37,0.680,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.196,%a.s.,29.861,°C,1020.000,hPa,Humid,0,0,,0,19.053,33964,246925.94,36.40,83.10,#N/A
66365,12/7/22 13:36:38,0.697,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.271,%a.s.,29.854,°C,1020.000,hPa,Humid,0,0,,0,19.047,33968,246921.53,36.40,83.10,#N/A
66366,12/7/22 13:36:39,0.713,OXY_CH5 (PSt7-10),21/6/22 15:58:01,default,120.196,%a.s.,29.861,°C,1020.000,hPa,Humid,0,0,,0,19.053,33966,246914.08,36.40,83.10,#N/A
