Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
237809,16/7/22 10:56:48,0.000,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.684,%a.s.,26.132,°C,1021.000,hPa,Humid,0,0,,0,20.845,75663,265915.65,30.45,49.40,#N/A
237811,16/7/22 10:56:49,0.012,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.740,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.838,75631,265833.81,30.45,49.40,#N/A
237816,16/7/22 10:56:50,0.029,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.687,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.844,75603,265804.33,30.45,49.40,#N/A
237822,16/7/22 10:56:51,0.045,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.711,%a.s.,26.132,°C,1021.000,hPa,Humid,0,0,,0,20.842,75597,265786.69,30.45,49.40,#N/A
237826,16/7/22 10:56:52,0.062,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.680,%a.s.,26.145,°C,1021.000,hPa,Humid,0,0,,0,20.844,75588,265764.62,30.45,49.40,#N/A
237836,16/7/22 10:56:53,0.079,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.705,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.842,75567,265763.07,30.45,49.40,#N/A
237841,16/7/22 10:56:54,0.096,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.689,%a.s.,26.145,°C,1021.000,hPa,Humid,0,0,,0,20.843,75566,265736.72,30.45,49.40,#N/A
237843,16/7/22 10:56:55,0.112,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.705,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.842,75562,265738.10,30.45,49.40,#N/A
237852,16/7/22 10:56:56,0.129,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.720,%a.s.,26.132,°C,1021.000,hPa,Humid,0,0,,0,20.841,75560,265729.69,30.45,49.40,#N/A
237857,16/7/22 10:56:57,0.145,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.669,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.846,75552,265714.63,30.45,49.40,#N/A
237863,16/7/22 10:56:58,0.162,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.723,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.840,75549,265723.83,30.45,49.40,#N/A
237870,16/7/22 10:56:59,0.179,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.705,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.842,75541,265719.01,30.45,49.40,#N/A
237873,16/7/22 10:57:00,0.195,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.671,%a.s.,26.145,°C,1021.000,hPa,Humid,0,0,,0,20.845,75536,265704.61,30.45,49.40,#N/A
237882,16/7/22 10:57:01,0.212,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.732,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.839,75537,265712.56,30.45,49.40,#N/A
237886,16/7/22 10:57:02,0.229,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.711,%a.s.,26.132,°C,1021.000,hPa,Humid,0,0,,0,20.842,75532,265712.12,30.45,49.40,#N/A
237895,16/7/22 10:57:03,0.246,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.714,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.841,75528,265705.69,30.45,49.40,#N/A
237902,16/7/22 10:57:04,0.262,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.732,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.839,75524,265693.73,30.45,49.40,#N/A
237903,16/7/22 10:57:05,0.278,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.680,%a.s.,26.145,°C,1021.000,hPa,Humid,0,0,,0,20.844,75520,265700.80,30.45,49.40,#N/A
237912,16/7/22 10:57:06,0.295,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.705,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.842,75515,265691.98,30.45,49.40,#N/A
237918,16/7/22 10:57:07,0.312,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.711,%a.s.,26.132,°C,1021.000,hPa,Humid,0,0,,0,20.842,75515,265679.40,30.45,49.40,#N/A
237921,16/7/22 10:57:08,0.329,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.698,%a.s.,26.145,°C,1021.000,hPa,Humid,0,0,,0,20.842,75511,265675.94,30.45,49.40,#N/A
237930,16/7/22 10:57:09,0.346,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.767,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.835,75507,265678.14,30.45,49.40,#N/A
237938,16/7/22 10:57:10,0.362,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.725,%a.s.,26.145,°C,1021.000,hPa,Humid,0,0,,0,20.839,75501,265668.35,30.45,49.40,#N/A
237943,16/7/22 10:57:11,0.379,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.678,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.845,75497,265667.15,30.45,49.40,#N/A
237945,16/7/22 10:57:12,0.395,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.678,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.845,75495,265674.76,30.45,49.40,#N/A
237955,16/7/22 10:57:13,0.412,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.689,%a.s.,26.145,°C,1021.000,hPa,Humid,0,0,,0,20.843,75494,265675.08,30.45,49.40,#N/A
237960,16/7/22 10:57:14,0.429,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.666,%a.s.,26.132,°C,1021.000,hPa,Humid,0,0,,0,20.847,75485,265659.94,30.45,49.40,#N/A
237968,16/7/22 10:57:15,0.445,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.696,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.843,75476,265657.99,30.45,49.40,#N/A
237972,16/7/22 10:57:16,0.462,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.705,%a.s.,26.138,°C,1021.000,hPa,Humid,0,0,,0,20.842,75480,265660.07,30.45,49.40,#N/A
237975,16/7/22 10:57:17,0.479,OXY_CH7 (PSt7-10),21/6/22 16:01:56,default,100.666,%a.s.,26.132,°C,1021.000,hPa,Humid,0,0,,0,20.847,75483,265660.46,30.45,49.40,#N/A
