ID,Species,Genotype,Tape Color,Replicate Genotype,Acclimation Tank,Treatment Tank,Treatment,Timepoint Sampled,Metric
1471,Pacuta,P-G1,Brown,1,High Tank 2,Ambient Tank 1,Ambient,Day 1,Physiology
2752,Pacuta,P-G1,Brown,2,High Tank 2,Ambient Tank 2,Ambient,Day 5,Physiology
1451,Pacuta,P-G1,Brown,3,High Tank 2,Ambient Tank 1,Ambient,Day 5,Molecular
1641,Pacuta,P-G1,Brown,4,High Tank 2,High Tank 1,High,Day 3,Physiology 
1320,Pacuta,P-G1,Brown,5,High Tank 2,Ambient Tank 2,Ambient,Day 3,Physiology 
1227,Pacuta,P-G1,Brown,6,High Tank 2,Ambient Tank 2,Ambient,Day 1,Molecular
1682,Pacuta,P-G1,Brown,7,High Tank 2,High Tank 2,High,Day 7,Molecular
1752,Pacuta,P-G1,Brown,8,High Tank 2,High Tank 1,High,Day 1,Molecular
1330,Pacuta,P-G1,Brown,9,High Tank 2,High Tank 1,High,Day 7,Physiology
1094,Pacuta,P-G1,Brown,10,High Tank 2,Ambient Tank 1,Ambient,Day 3,Molecular
1038,Pacuta,P-G1,Brown,11,High Tank 2,Ambient Tank 2,Ambient,Day 7,Molecular
1276,Pacuta,P-G1,Brown,12,High Tank 2,High Tank 2,High,Day 3,Molecular
2556,Pacuta,P-G1,Brown,13,High Tank 2,High Tank 2,High,Day 5,Physiology
1644,Pacuta,P-G1,Brown,14,High Tank 2,High Tank 2,High,Day 1,Physiology
1324,Pacuta,P-G1,Brown,15,High Tank 2,High Tank 1,High,Day 5,Molecular
1741,Pacuta,P-G1,Brown,16,High Tank 2,Ambient Tank 1,Ambient,Day 7,Physiology
2382,Mcapitata,M-G2,Purple,1,High Tank 2,Ambient Tank 1,Ambient,Day 3,Physiology 
1616,Mcapitata,M-G2,Purple,2,High Tank 2,Ambient Tank 2,Ambient,Day 3,Molecular
1478,Mcapitata,M-G2,Purple,3,High Tank 2,High Tank 2,High,Day 5,Molecular
1066,Mcapitata,M-G2,Purple,4,High Tank 2,High Tank 2,High,Day 3,Physiology 
1626,Mcapitata,M-G2,Purple,5,High Tank 2,High Tank 1,High,Day 3,Molecular
2758,Mcapitata,M-G2,Purple,6,High Tank 2,High Tank 1,High,Day 1,Physiology
1220,Mcapitata,M-G2,Purple,7,High Tank 2,Ambient Tank 2,Ambient,Day 1,Physiology
1542,Mcapitata,M-G2,Purple,8,High Tank 2,Ambient Tank 2,Ambient,Day 7,Physiology
2559,Mcapitata,M-G2,Purple,9,High Tank 2,Ambient Tank 1,Ambient,Day 5,Physiology
1631,Mcapitata,M-G2,Purple,10,High Tank 2,High Tank 1,High,Day 7,Molecular
1690,Mcapitata,M-G2,Purple,11,High Tank 2,Ambient Tank 1,Ambient,Day 1,Molecular
1280,Mcapitata,M-G2,Purple,12,High Tank 2,Ambient Tank 2,Ambient,Day 5,Molecular
1601,Mcapitata,M-G2,Purple,13,High Tank 2,High Tank 1,High,Day 5,Physiology
2980,Mcapitata,M-G2,Purple,14,High Tank 2,Ambient Tank 1,Ambient,Day 5,Physiology
1500,Mcapitata,M-G2,Purple,15,High Tank 2,High Tank 2,High,Day 7,Physiology
1298,Mcapitata,M-G2,Purple,16,High Tank 2,High Tank 2,High,Day 1,Molecular
1687,Pacuta,P-G2,Yellow,1,Ambient Tank 2,High Tank 1,High,Day 3,Molecular
1822,Pacuta,P-G2,Yellow,2,Ambient Tank 2,Ambient Tank 2,Ambient,Day 7,Physiology
1760,Pacuta,P-G2,Yellow,3,Ambient Tank 2,High Tank 2,High,Day 7,Physiology
1289,Pacuta,P-G2,Yellow,4,Ambient Tank 2,High Tank 2,High,Day 5,Molecular
1550,Pacuta,P-G2,Yellow,5,Ambient Tank 2,High Tank 1,High,Day 7,Molecular
1422,Pacuta,P-G2,Yellow,6,Ambient Tank 2,High Tank 1,High,Day 5,Physiology
1564,Pacuta,P-G2,Yellow,7,Ambient Tank 2,Ambient Tank 2,Ambient,Day 5,Molecular
2193,Pacuta,P-G2,Yellow,8,Ambient Tank 2,High Tank 2,High,Day 1,Molecular
2086,Pacuta,P-G2,Yellow,9,Ambient Tank 2,High Tank 1,High,Day 1,Physiology
2876,Pacuta,P-G2,Yellow,10,Ambient Tank 2,Ambient Tank 1,Ambient,Day 1,Molecular
1602,Pacuta,P-G2,Yellow,11,Ambient Tank 2,Ambient Tank 2,Ambient,,
2308,Pacuta,P-G2,Yellow,12,Ambient Tank 2,Ambient Tank 2,Ambient,Day 1,Physiology
1728,Pacuta,P-G2,Yellow,13,Ambient Tank 2,Ambient Tank 1,Ambient,Day 3,Physiology 
1120,Pacuta,P-G2,Yellow,14,Ambient Tank 2,Ambient Tank 1,Ambient,Day 5,Physiology
1446,Pacuta,P-G2,Yellow,15,Ambient Tank 2,Ambient Tank 1,Ambient,Day 7,Molecular
1563,Pacuta,P-G2,Yellow,16,Ambient Tank 2,High Tank 2,High,Day 3,Physiology 
1438,Mcapitata,M-G3,Red,1,Ambient Tank 1,High Tank 1,High,Day 5,Physiology
1322,Mcapitata,M-G3,Red,2,Ambient Tank 1,Ambient Tank 2,Ambient,Day 5,Physiology
2368,Mcapitata,M-G3,Red,3,Ambient Tank 1,Ambient Tank 1,Ambient,Day 3,Molecular
1771,Mcapitata,M-G3,Red,4,Ambient Tank 1,High Tank 1,High,Day 7,Molecular
1764,Mcapitata,M-G3,Red,5,Ambient Tank 1,Ambient Tank 2,Ambient,Day 1,Molecular
1620,Mcapitata,M-G3,Red,6,Ambient Tank 1,Ambient Tank 2,Ambient,Day 7,Molecular
1130,Mcapitata,M-G3,Red,7,Ambient Tank 1,High Tank 2,High,Day 3,Physiology 
1441,Mcapitata,M-G3,Red,8,Ambient Tank 1,Ambient Tank 2,Ambient,Day 3,Physiology 
1180,Mcapitata,M-G3,Red,9,Ambient Tank 1,High Tank 1,High,Day 1,Physiology
2983,Mcapitata,M-G3,Red,10,Ambient Tank 1,Ambient Tank 1,Ambient,Day 5,Molecular
1429,Mcapitata,M-G3,Red,11,Ambient Tank 1,High Tank 2,High,Day 5,Molecular
1123,Mcapitata,M-G3,Red,12,Ambient Tank 1,High Tank 2,High,Day 7,Physiology
1133,Mcapitata,M-G3,Red,13,Ambient Tank 1,Ambient Tank 1,Ambient,Day 1,Physiology
1223,Mcapitata,M-G3,Red,14,Ambient Tank 1,Ambient Tank 1,Ambient,Day 7,Physiology
2531,Mcapitata,M-G3,Red,15,Ambient Tank 1,High Tank 2,High,Day 1,Molecular
2402,Mcapitata,M-G3,Red,16,Ambient Tank 1,High Tank 1,High,Day 3,Molecular
