#,Date-Time (HST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,06/09/2022 17:08:24,,,Logged,Logged,,
2,06/09/2022 17:08:25,,,,,Logged,
3,06/09/2022 18:00:00,27.80,995.84,,,,
4,06/09/2022 18:01:00,27.75,968.32,,,,
5,06/09/2022 18:02:00,27.75,861.76,,,,
6,06/09/2022 18:03:00,27.75,831.04,,,,
7,06/09/2022 18:04:00,27.71,780.16,,,,
8,06/09/2022 18:05:00,27.67,719.36,,,,
9,06/09/2022 18:06:00,27.71,703.04,,,,
10,06/09/2022 18:07:00,27.67,698.88,,,,
11,06/09/2022 18:08:00,27.67,698.88,,,,
12,06/09/2022 18:09:00,27.67,694.72,,,,
13,06/09/2022 18:10:00,27.67,706.24,,,,
14,06/09/2022 18:11:00,27.63,717.76,,,,
15,06/09/2022 18:12:00,27.67,707.84,,,,
16,06/09/2022 18:13:00,27.67,708.80,,,,
17,06/09/2022 18:14:00,27.63,722.88,,,,
18,06/09/2022 18:15:00,27.58,734.08,,,,
19,06/09/2022 18:16:00,27.63,727.68,,,,
20,06/09/2022 18:17:00,27.63,720.32,,,,
21,06/09/2022 18:18:00,27.63,734.72,,,,
22,06/09/2022 18:19:00,27.58,798.40,,,,
23,06/09/2022 18:20:00,27.63,731.84,,,,
24,06/09/2022 18:21:00,27.58,712.00,,,,
25,06/09/2022 18:22:00,27.58,712.00,,,,
26,06/09/2022 18:23:00,27.58,727.68,,,,
27,06/09/2022 18:24:00,27.54,691.20,,,,
28,06/09/2022 18:25:00,27.54,722.88,,,,
29,06/09/2022 18:26:00,27.54,818.88,,,,
30,06/09/2022 18:27:00,27.54,856.00,,,,
31,06/09/2022 18:28:00,27.54,880.64,,,,
32,06/09/2022 18:29:00,27.50,813.76,,,,
33,06/09/2022 18:30:00,27.54,829.44,,,,
34,06/09/2022 18:31:00,27.50,846.72,,,,
35,06/09/2022 18:32:00,27.50,756.16,,,,
36,06/09/2022 18:33:00,27.50,796.48,,,,
37,06/09/2022 18:34:00,27.50,739.84,,,,
38,06/09/2022 18:35:00,27.50,683.84,,,,
39,06/09/2022 18:36:00,27.45,612.48,,,,
40,06/09/2022 18:37:00,27.45,584.32,,,,
41,06/09/2022 18:38:00,27.45,533.44,,,,
42,06/09/2022 18:39:00,27.45,494.56,,,,
43,06/09/2022 18:40:00,27.45,472.64,,,,
44,06/09/2022 18:41:00,27.45,442.08,,,,
45,06/09/2022 18:42:00,27.41,428.00,,,,
46,06/09/2022 18:43:00,27.45,432.16,,,,
47,06/09/2022 18:44:00,27.41,407.36,,,,
48,06/09/2022 18:45:00,27.41,378.72,,,,
49,06/09/2022 18:46:00,27.37,379.52,,,,
50,06/09/2022 18:47:00,27.37,366.40,,,,
51,06/09/2022 18:48:00,27.37,350.56,,,,
52,06/09/2022 18:49:00,27.41,334.08,,,,
53,06/09/2022 18:50:00,27.37,324.00,,,,
