"Color.Score","Fragment.ID","Timepoint","Treatment","Species","Genotype","Group"
-5.68546106614503,"1471","Day 1","Ambient","Pacuta","P-G1","Day 1 Ambient Pacuta"
5.62882644198669,"2752","Day 5","Ambient","Pacuta","P-G1","Day 5 Ambient Pacuta"
6.55393252269621,"1451","Day 5","Ambient","Pacuta","P-G1","Day 5 Ambient Pacuta"
-2.90495526965371,"1641","Day 3","High","Pacuta","P-G1","Day 3 High Pacuta"
-0.482617181201655,"1320","Day 3","Ambient","Pacuta","P-G1","Day 3 Ambient Pacuta"
12.4680233472581,"1227","Day 1","Ambient","Pacuta","P-G1","Day 1 Ambient Pacuta"
-2.8923666449179,"1682","Day 7","High","Pacuta","P-G1","Day 7 High Pacuta"
-5.09896409990019,"1752","Day 1","High","Pacuta","P-G1","Day 1 High Pacuta"
-2.71624386883429,"1330","Day 7","High","Pacuta","P-G1","Day 7 High Pacuta"
0.406461414333399,"1094","Day 3","Ambient","Pacuta","P-G1","Day 3 Ambient Pacuta"
-6.37650943423789,"1276","Day 3","High","Pacuta","P-G1","Day 3 High Pacuta"
2.90064386751208,"2556","Day 5","High","Pacuta","P-G1","Day 5 High Pacuta"
-6.29465313921522,"1644","Day 1","High","Pacuta","P-G1","Day 1 High Pacuta"
-6.55785115584797,"1324","Day 5","High","Pacuta","P-G1","Day 5 High Pacuta"
5.57104383592449,"1741","Day 7","Ambient","Pacuta","P-G1","Day 7 Ambient Pacuta"
-5.00169983506759,"2382","Day 3","Ambient","Mcapitata","M-G2","Day 3 Ambient Mcapitata"
0.736222359714341,"1616","Day 3","Ambient","Mcapitata","M-G2","Day 3 Ambient Mcapitata"
-0.563535981134604,"1478","Day 5","High","Mcapitata","M-G2","Day 5 High Mcapitata"
-1.75011058421477,"1066","Day 3","High","Mcapitata","M-G2","Day 3 High Mcapitata"
-6.45946129699054,"1626","Day 3","High","Mcapitata","M-G2","Day 3 High Mcapitata"
-6.15179300556357,"2758","Day 1","High","Mcapitata","M-G2","Day 1 High Mcapitata"
5.42157494998488,"1220","Day 1","Ambient","Mcapitata","M-G2","Day 1 Ambient Mcapitata"
0.425402743416063,"1542","Day 7","Ambient","Mcapitata","M-G2","Day 7 Ambient Mcapitata"
-0.670427732326496,"2559","Day 5","Ambient","Mcapitata","M-G2","Day 5 Ambient Mcapitata"
-6.75269282298359,"1631","Day 7","High","Mcapitata","M-G2","Day 7 High Mcapitata"
-4.38733401514664,"1690","Day 1","Ambient","Mcapitata","M-G2","Day 1 Ambient Mcapitata"
8.95498367528714,"1280","Day 5","Ambient","Mcapitata","M-G2","Day 5 Ambient Mcapitata"
-6.59734815601664,"1601","Day 5","High","Mcapitata","M-G2","Day 5 High Mcapitata"
2.7969157591404,"2980","Day 5","Ambient","Mcapitata","M-G2","Day 5 Ambient Mcapitata"
12.2938033753589,"1500","Day 7","High","Mcapitata","M-G2","Day 7 High Mcapitata"
0.196727213434364,"1298","Day 1","High","Mcapitata","M-G2","Day 1 High Mcapitata"
8.05080941093859,"1687","Day 3","High","Pacuta","P-G2","Day 3 High Pacuta"
-2.36056404862278,"1822","Day 7","Ambient","Pacuta","P-G2","Day 7 Ambient Pacuta"
-2.76572030771939,"1760","Day 7","High","Pacuta","P-G2","Day 7 High Pacuta"
4.06540655879099,"1289","Day 5","High","Pacuta","P-G2","Day 5 High Pacuta"
-1.78449830207292,"1550","Day 7","High","Pacuta","P-G2","Day 7 High Pacuta"
-3.39818383975473,"1422","Day 5","High","Pacuta","P-G2","Day 5 High Pacuta"
-6.08708811880451,"1564","Day 5","Ambient","Pacuta","P-G2","Day 5 Ambient Pacuta"
6.18507074179212,"2193","Day 1","High","Pacuta","P-G2","Day 1 High Pacuta"
-5.28078022793443,"2086","Day 1","High","Pacuta","P-G2","Day 1 High Pacuta"
14.3644759852496,"2876","Day 1","Ambient","Pacuta","P-G2","Day 1 Ambient Pacuta"
